source_column,era,canonical_category
rape,women_2016,rape
attempt_to_commit_rape,women_2016,attempt_to_commit_rape
kidnapping_and_abduction,women_2016,kidnapping_and_abduction
dowry_deaths,women_2016,dowry_deaths
assault_on_women,women_2016,assault_on_women
insult_to_the_modesty_of_women,women_2016,insult_to_modesty
cruelty_by_husband_relatives,women_2016,cruelty_by_husband_relatives
importation_of_girls_from_foreign,women_2016,human_trafficking
abetment_of_suicides_of_women,women_2016,abetment_of_suicide
dowry_prohibition,women_2016,dowry_prohibition
indecent_representation_of_women,women_2016,indecent_representation
protection_of_women_from_domestic_violence,women_2016,domestic_violence
immoral_traffic_prevention,women_2016,immoral_traffic_prostitution
acid_attack,women_2016,acid_attack
attempt_to_acid_attack,women_2016,attempt_acid_attack
deaths_caused_with_intent_to_cause_miscarriage,women_2016,miscarriage
causing_miscarriage_without_consent_of_women,women_2016,miscarriage
human_trafficking,women_2016,human_trafficking
un_natural_offences,women_2016,unnatural_offences
murder_with_rape_gang_rape,women_2017_onwards,murder_related
dowry_deaths,women_2017_onwards,dowry_deaths
abetment_to_suicide_of_women,women_2017_onwards,abetment_of_suicide
miscarriage,women_2017_onwards,miscarriage
acid_attack,women_2017_onwards,acid_attack
attempt_to_acid_attack,women_2017_onwards,attempt_acid_attack
cruelty_by_husband_or_his_relatives,women_2017_onwards,cruelty_by_husband_relatives
kidnapping_and_abduction,women_2017_onwards,kidnapping_and_abduction
kidnapping_abduction_in_order_to_murder,women_2017_onwards,kidnapping_and_abduction
kidnapping_for_ransom,women_2017_onwards,kidnapping_and_abduction
kidnp_and_abductn_of_women_above_18_for_marrg,women_2017_onwards,kidnapping_and_abduction
kidnp_and_abductn_of_girls_below_18_for_marrg,women_2017_onwards,kidnapping_and_abduction
procuration_of_minor_girls,women_2017_onwards,kidnapping_and_abduction
importation_of_girls_from_foreign,women_2017_onwards,human_trafficking
kidnapping_and_abduction_of_women_others,women_2017_onwards,kidnapping_and_abduction
human_trafficking,women_2017_onwards,human_trafficking
selling_of_minor_girls,women_2017_onwards,human_trafficking
buying_of_minor_girls,women_2017_onwards,human_trafficking
rape_women_above_18,women_2017_onwards,rape
rape_girls_below_18,women_2017_onwards,rape
attempt_to_commit_rape_above_18,women_2017_onwards,attempt_to_commit_rape
attempt_to_commit_rape_girls_below_18,women_2017_onwards,attempt_to_commit_rape
assault_on_womenabove_18,women_2017_onwards,assault_on_women
assault_on_women_below_18,women_2017_onwards,assault_on_women
insult_to_the_modesty_of_women_above_18,women_2017_onwards,insult_to_modesty
insult_to_the_modesty_of_women_below_18,women_2017_onwards,insult_to_modesty
dowry_prohibition,women_2017_onwards,dowry_prohibition
procuring_inducing_children_for_the_sake_of_prostitution,women_2017_onwards,immoral_traffic_prostitution
detaining_a_prsn_in_premises_where_prost_is_carried,women_2017_onwards,immoral_traffic_prostitution
prostitution_in_or_in_the_vicinity_of_public_places,women_2017_onwards,immoral_traffic_prostitution
seducing_or_soliciting_for_purpose_of_prostitution,women_2017_onwards,immoral_traffic_prostitution
other_sections_under_itp_act,women_2017_onwards,immoral_traffic_prostitution
protection_of_women_from_domestic_violence,women_2017_onwards,domestic_violence
publshng_or_transmitting_of_sexually_explicit_mtrl,women_2017_onwards,cyber_crime_against_women
other_women_centric_cyber_crimes,women_2017_onwards,cyber_crime_against_women
child_rape,women_2017_onwards,crimes_against_children
sexual_assault_of_children,women_2017_onwards,crimes_against_children
child_sexual_harassment,women_2017_onwards,crimes_against_children
use_of_child_for_pornography,women_2017_onwards,crimes_against_children
offences_of_pocso_act,women_2017_onwards,crimes_against_children
pocso_act_unnatural_offences,women_2017_onwards,crimes_against_children
indecent_representation_of_women,women_2017_onwards,indecent_representation
murder,ipc_2016,murder
attempt_to_commit_murder,ipc_2016,attempt_to_commit_murder
culpable_homicide_not_amounting_to_murder,ipc_2016,culpable_homicide
attempt_to_commit_culpable_homicide,ipc_2016,attempt_culpable_homicide
rape,ipc_2016,rape
attempt_to_commit_rape,ipc_2016,attempt_to_commit_rape
kidnapping_and_abduction,ipc_2016,kidnapping_and_abduction
dacoity,ipc_2016,dacoity
mkng_preparation_and_assembly_for_comm_dacoity,ipc_2016,dacoity_preparation
robbery,ipc_2016,robbery
criminal_trespass_or_burglary,ipc_2016,burglary
theft,ipc_2016,theft
unlawful_assembly,ipc_2016,unlawful_assembly
riots,ipc_2016,rioting
criminal_breach_of_trust,ipc_2016,criminal_breach_of_trust
cheating,ipc_2016,cheating
forgery,ipc_2016,forgery
counterfeiting,ipc_2016,counterfeiting
arson,ipc_2016,arson
